Date, Open, High, Low, Close
09/19/17, 319.04, 319.45, 318.03, 318.51
09/18/17, 314.31, 318.93, 314.17, 318.93
09/15/17, 311.19, 313.69, 310.82, 313.69
09/14/17, 310.82, 312.52, 309.75, 312.52
09/13/17, 311.16, 312.24, 309.76, 310.00
09/12/17, 311.70, 311.78, 309.53, 310.42
09/11/17, 309.06, 311.26, 308.95, 309.83
09/08/17, 307.68, 308.10, 306.63, 307.43
09/07/17, 304.40, 307.56, 304.36, 306.97
09/06/17, 303.62, 303.85, 302.41, 303.18
09/05/17, 305.64, 305.66, 303.06, 304.06
09/04/17, 302.52, 306.38, 302.45, 304.19
09/01/17, 308.85, 309.43, 306.82, 307.78
08/31/17, 309.77, 310.33, 307.14, 308.28
08/30/17, 309.08, 309.65, 308.45, 309.65
08/29/17, 307.46, 308.64, 304.24, 308.64
08/28/17, 310.69, 311.79, 308.89, 309.53
08/25/17, 311.56, 312.16, 310.24, 311.21
08/24/17, 310.14, 311.73, 309.72, 310.73
08/23/17, 311.02, 311.52, 308.85, 309.71
08/22/17, 308.66, 309.93, 308.50, 309.34
08/21/17, 309.09, 309.09, 307.56, 308.14
08/18/17, 305.91, 309.08, 305.90, 308.39
08/17/17, 307.85, 309.58, 307.16, 309.02
08/16/17, 308.27, 308.66, 306.59, 307.16
08/14/17, 304.99, 305.84, 303.75, 304.93
08/11/17, 303.37, 304.96, 301.32, 302.72
08/10/17, 308.30, 309.78, 305.73, 308.37
08/09/17, 311.20, 312.34, 309.18, 309.52
08/08/17, 314.94, 315.66, 311.99, 313.40
08/07/17, 314.34, 315.75, 313.24, 313.96
08/04/17, 312.80, 314.14, 311.89, 313.46
08/03/17, 316.95, 317.02, 310.22, 312.29
08/02/17, 318.58, 318.86, 317.17, 317.69
08/01/17, 313.58, 318.58, 313.19, 317.04
07/31/17, 312.73, 314.81, 312.20, 314.60
07/28/17, 319.01, 319.18, 313.72, 314.13
07/27/17, 320.63, 321.46, 319.51, 320.51
07/26/17, 320.86, 320.90, 318.68, 319.46
07/25/17, 321.70, 322.16, 319.72, 320.15
07/24/17, 321.74, 322.01, 320.82, 322.01
07/21/17, 320.17, 322.01, 320.00, 321.79
07/20/17, 319.68, 320.99, 318.67, 320.61
07/19/17, 319.15, 319.15, 317.52, 318.91
07/18/17, 318.38, 318.66, 317.59, 318.65
07/17/17, 319.22, 319.45, 317.86, 318.52
07/14/17, 317.70, 318.29, 316.81, 317.35
07/13/17, 315.46, 318.40, 315.03, 316.35
07/12/17, 313.50, 314.30, 313.21, 313.58
07/11/17, 312.04, 313.70, 311.50, 313.59
07/10/17, 311.65, 312.41, 310.72, 311.46
07/07/17, 310.17, 311.45, 309.62, 310.66
07/06/17, 312.17, 312.50, 310.76, 311.88
07/05/17, 309.87, 312.10, 309.64, 311.77
07/04/17, 312.42, 312.82, 309.78, 310.46
07/03/17, 312.50, 312.93, 310.85, 312.39
06/30/17, 310.61, 311.76, 310.17, 311.76
06/29/17, 312.86, 313.79, 312.26, 312.56
06/28/17, 310.71, 312.03, 310.47, 310.84
06/27/17, 311.72, 312.95, 311.05, 312.12
06/26/17, 310.53, 312.22, 310.13, 311.89
06/23/17, 309.36, 310.58, 308.96, 310.26
06/22/17, 308.60, 309.47, 307.28, 309.47
06/21/17, 307.61, 308.00, 306.13, 307.52
06/20/17, 310.55, 310.63, 308.72, 309.31
06/19/17, 307.14, 309.29, 306.19, 308.61
06/16/17, 306.97, 307.40, 305.82, 306.79
06/15/17, 308.02, 308.83, 305.04, 306.69
06/14/17, 309.53, 310.05, 307.03, 307.95
06/13/17, 306.25, 308.29, 306.25, 308.02
06/12/17, 307.74, 308.31, 305.59, 306.24
06/09/17, 307.51, 310.02, 307.17, 309.38
06/08/17, 305.70, 306.87, 304.17, 306.25
06/07/17, 306.94, 307.59, 305.42, 305.68
06/05/17, 308.52, 308.59, 306.79, 307.33
06/02/17, 305.34, 308.01, 305.27, 307.83
06/01/17, 304.74, 305.30, 302.99, 304.03
05/31/17, 303.79, 306.18, 303.64, 304.67
05/30/17, 306.89, 306.99, 303.11, 304.59
05/29/17, 307.98, 309.32, 305.13, 306.52
05/26/17, 305.41, 308.51, 305.07, 306.96
05/25/17, 302.83, 305.34, 302.18, 305.22
05/24/17, 302.32, 302.79, 301.23, 301.71
05/23/17, 301.44, 303.70, 300.41, 301.36
